sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
沙鹿,臺中市,22,,良好,1.1,0.18,19,17.2,15,5,6.2,8.4,2.2,3.4,157,2024-06-13 09:00,,0.1,6.9,15,0,120.568794,24.225628,29
豐原,臺中市,19,,良好,1.2,0.21,15.2,21.8,7,4,7.9,10.7,2.8,3.9,173,2024-06-13 09:00,,0.1,4.2,12,0,120.74252414,24.25699731,28
三義,苗栗縣,19,,良好,1.1,0.17,13.8,21.8,12,7,6,8.3,2.2,4.9,184,2024-06-13 09:00,,0.1,5.8,12,0,120.75956754,24.38248443,27
苗栗,苗栗縣,26,,良好,1.2,0.14,18.5,22.5,14,8,4.3,5.9,1.6,6.5,192,2024-06-13 09:00,,0,7.9,11,1,120.82011468,24.56499183,26
頭份,苗栗縣,20,,良好,1.9,0.17,17.3,22.3,23,7,4.2,6.8,2.6,4.8,200,2024-06-13 09:00,,0.1,6.3,16,1,120.89869286,24.69690679,25
新竹,新竹市,19,,良好,0.7,0.19,18.6,21.5,15,5,6.7,9.1,2.4,2.4,201,2024-06-13 09:00,,0.1,5,11,0,120.97236752,24.8056356,24
竹東,新竹縣,14,,良好,0.5,0.19,17.7,9.8,14,3,5.5,7.7,2.1,4.6,219,2024-06-13 09:00,,0.1,4.3,14,0,121.08895493,24.74091408,23
湖口,新竹縣,34,,良好,0.9,0.15,21.5,21.6,21,15,,,,5.6,217,2024-06-13 09:00,,0.1,10.6,14,0,121.03886894,24.90009696,22
龍潭,桃園市,18,,良好,1.3,0.17,18.5,17.4,15,6,8.2,11,2.7,5.5,238,2024-06-13 09:00,,0.1,5.5,12,0,121.21645772,24.86400048,21
平鎮,桃園市,19,,良好,0.4,0.16,19.2,20.6,16,4,7.9,9.8,1.8,3.8,238,2024-06-13 09:00,,0.1,4.5,12,0,121.203986,24.952786,20
觀音,桃園市,25,,良好,,0.08,20.2,21.0,22,8,4.6,6.6,1.9,7.4,245,2024-06-13 09:00,,0,7.8,18,0,121.08283092,25.03556747,19
大園,桃園市,20,,良好,0.3,0.12,21.5,22.1,19,2,4,5.1,1,7,234,2024-06-13 09:00,,0.1,4.4,16,0,121.20251473,25.06100357,18
桃園,桃園市,16,,良好,0.8,0.23,19.8,17.7,14,,8.3,12.1,3.8,3.9,222,2024-06-13 09:00,,0.1,,13,0,121.30500531,24.9947107,17
大同,臺北市,37,,良好,1.4,1.98,4.9,9.3,32,14,22.8,94.8,71.9,-,-,2024-06-13 09:00,,0.6,10,24,1,121.51342074,25.06331455,16
松山,臺北市,35,,良好,1.1,0.46,9.6,9.5,25,11,16,31.5,15.5,1.8,232,2024-06-13 09:00,,0.2,10.8,18,0,121.578611,25.05,15
古亭,臺北市,23,,良好,1.2,0.42,7.1,4.8,24,7,13.6,30.5,16.9,0.9,214,2024-06-13 09:00,,0.2,7.2,15,1,121.529556,25.020608,14
萬華,臺北市,23,,良好,0.4,0.49,11.6,10.0,20,10,14.4,23.8,9.3,0.9,275,2024-06-13 09:00,,0.2,7.1,17,0,121.507972,25.046503,13
中山,臺北市,28,,良好,0.8,0.85,9.1,10.9,17,8,17.8,38.9,21,2.4,245,2024-06-13 09:00,,0.3,8.7,15,0,121.526528,25.062361,12
士林,臺北市,26,,良好,0.6,0.3,14.8,13.0,17,6,12.3,16.7,4.4,1.4,170,2024-06-13 09:00,,0.1,8.1,16,0,121.51666356,25.10334003,11
淡水,新北市,20,,良好,1.4,0.15,20.5,22.5,27,7,6.1,9.3,3.2,1.6,250,2024-06-13 09:00,,0.1,5.6,18,1,121.449239,25.1645,10
林口,新北市,18,,良好,0.6,0.2,14.6,17.4,17,7,11.7,18.8,7.1,5.2,250,2024-06-13 09:00,,0.1,5.1,14,0,121.36548982,25.07798949,9
菜寮,新北市,28,,良好,0.8,0.45,13,13.4,24,8,14.7,21.3,6.6,2,166,2024-06-13 09:00,,0.2,8.6,15,0,121.481028,25.06895,8
新莊,新北市,26,,良好,0.8,0.44,12.4,7.5,21,10,12.8,22.2,9.3,2.6,242,2024-06-13 09:00,,0.2,8,19,0,121.4325,25.037972,7
板橋,新北市,25,,良好,0.7,0.47,10.2,10.9,19,4,15.3,25.4,10,3.2,257,2024-06-13 09:00,,0.2,3.6,14,0,121.458667,25.012972,6
土城,新北市,41,,良好,0.7,0.4,10.5,7.7,26,12,12.8,28.5,15.6,2.1,238,2024-06-13 09:00,,0.2,12.5,18,0,121.451861,24.982528,5
新店,新北市,-1,,,,,,,,,,,,,,2024-06-13 09:00,,,,,,121.537778,24.977222,4
萬里,新北市,19,,良好,0.7,0.19,17.9,18.0,18,8,7.6,9.8,2.2,1.1,191,2024-06-13 09:00,,0.1,5.7,12,0,121.689881,25.179667,3
汐止,新北市,29,,良好,1.1,0.38,9.2,9.6,28,10,16.5,29.6,13.1,2.7,254,2024-06-13 09:00,,0.2,9,21,0,121.64081,25.06624,2
基隆,基隆市,16,,良好,1.2,0.24,16.6,17.8,14,5,6.7,10.8,4,1.9,203,2024-06-13 09:00,,0.1,4.5,12,0,121.760056,25.129167,1
屏東(枋山),屏東縣,46,,良好,0,0.08,29.4,27.0,42,11,0.2,0.3,0,3.2,285,2024-06-13 08:00,,0.1,9.3,46,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,18,,良好,0,0.22,16.7,19.2,16,5,5.9,7.8,1.8,0.9,106,2024-06-13 08:00,,0.1,3.2,12,0,120.65525382,24.39017512,312
新北(樹林),新北市,26,,良好,0.7,0.42,3.8,5.6,27,10,11.1,28.1,16.9,0,353,2024-06-13 08:00,,0.1,8,19,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,21,,良好,0,0.21,16.2,12.6,14,7,2.6,3.4,0.7,2.1,301,2024-06-13 08:00,,0.1,6.4,15,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,23,,良好,0.4,0.31,7.5,5.8,11,7,14.8,22.2,7.4,0.4,125,2024-06-13 08:00,,0.1,4.8,18,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,25,,良好,0.2,0.26,3.8,5.9,15,8,12.8,17,4.2,1.4,90,2024-06-13 08:00,,0.1,7.7,17,0,120.24535,22.87985556,202
彰化（員林）,彰化縣,32,,良好,1.4,0.19,16.4,13.4,14,7,5.7,8.1,2.3,0.8,105,2024-06-13 08:00,,0.1,10,20,1,120.56373,23.96117,201
大城,彰化縣,17,,良好,0.5,0.06,19,18.7,7,4,2,2.9,0.9,3.2,194,2024-06-13 08:00,,0,5.2,13,0,120.26964167,23.85493056,85
富貴角,新北市,22,,良好,0.5,0.12,21.6,22.7,22,6,6,7.3,1.3,5.3,246,2024-06-13 08:00,,0.1,6.7,22,0,121.53656894,25.29681695,84
麥寮,雲林縣,18,,良好,1.1,0.22,16.6,15.8,10,0,4.6,9.8,5.2,3,176,2024-06-13 08:00,,0.1,3.1,18,1,120.251825,23.753506,83
關山,臺東縣,43,,良好,0.8,0.16,8.7,4.3,41,8,3.7,7.9,4.2,0.8,13,2024-06-13 08:00,,0.1,7.9,43,0,121.161933,23.045083,80
馬公,澎湖縣,38,,良好,4.8,0.14,7.2,18.5,25,15,23.9,77.2,53.2,2.3,188,2024-06-13 08:00,,0.1,8.7,18,3,119.566158,23.569031,78
金門,金門縣,19,,良好,1.1,0.13,20.3,20.0,22,8,9.2,10.9,1.6,2.4,213,2024-06-13 08:00,,0.1,5.9,18,0,118.312256,24.432133,77
馬祖,連江縣,30,,良好,0.3,0.1,22,22.7,25,10,2.9,4.2,1.2,3.6,214,2024-06-13 08:00,,0,9.1,21,0,119.93149378,26.15188416,75
埔里,南投縣,29,,良好,1.4,0.26,3.3,2.3,23,10,3.1,9.6,6.4,0.4,77,2024-06-13 08:00,,0.1,9,20,1,120.967903,23.968842,72
復興,高雄市,24,,良好,0,0.6,5.2,7.0,9,7,14.9,21.7,6.7,0.3,143,2024-06-13 08:00,,0.2,7.5,16,0,120.312017,22.608711,71
永和,新北市,24,,良好,1,1.3,2.6,5.1,15,9,11.9,44.3,32.4,0.7,141,2024-06-13 08:00,,0.4,7.5,13,0,121.516306,25.017,70
竹山,南投縣,23,,良好,0.9,0.12,5,4.2,21,9,4.2,6.3,2.1,0.6,212,2024-06-13 08:00,,0.1,7.2,17,0,120.677306,23.756389,69
中壢,桃園市,33,,良好,0.3,1.01,8.3,16.9,17,8,20.4,69.6,49.2,0.5,115,2024-06-13 08:00,,0.3,10.1,18,0,121.221667,24.953278,68
三重,新北市,43,,良好,0.8,1.48,3.1,7.3,22,13,26.9,125.8,98.8,-,-,2024-06-13 08:00,,0.6,8.9,15,1,121.493806,25.072611,67
冬山,宜蘭縣,34,,良好,0.3,0.3,13.1,14.0,21,11,8.1,11.4,3.3,0.5,271,2024-06-13 08:00,,0.2,10.5,27,0,121.792928,24.632203,66
宜蘭,宜蘭縣,18,,良好,0.5,0.21,20,19.8,13,5,4.1,5.4,1.3,0.3,177,2024-06-13 08:00,,0.1,5.2,14,0,121.746394,24.747917,65
陽明,臺北市,21,,良好,0.6,0.13,22.2,23.4,12,4,2.5,3.5,1,2.2,80,2024-06-13 08:00,,0.1,3.7,12,0,121.529583,25.182722,64
花蓮,花蓮縣,19,,良好,0.3,0.21,8,11.0,19,4,3,4.4,1.3,1.6,217,2024-06-13 08:00,,0.1,6,15,0,121.599769,23.971306,63
臺東,臺東縣,18,,良好,0.9,0.16,23.8,15.3,15,4,2.9,4,1,0.2,73,2024-06-13 08:00,,0.1,5.4,16,1,121.15045,22.755358,62
恆春,屏東縣,25,,良好,0.3,0.09,23.8,23.6,13,8,0.4,1.5,1.1,2.8,287,2024-06-13 08:00,,0,7.8,18,0,120.788928,21.958069,61
潮州,屏東縣,29,,良好,0.2,0.13,12.6,9.3,27,4,1.8,3.1,1.2,1,333,2024-06-13 08:00,,0.1,4.7,29,0,120.561175,22.523108,60
屏東,屏東縣,24,,良好,0.3,0.29,6.7,5.2,15,10,7.5,10.6,3.1,1.3,30,2024-06-13 08:00,,0.1,7.5,23,0,120.488033,22.673081,59
小港,高雄市,36,,良好,1.1,0.42,4.3,5.5,5,8,16.9,22.8,5.9,1.3,69,2024-06-13 08:00,,0.2,11,14,1,120.337736,22.565833,58
前鎮,高雄市,25,,良好,,0.67,5,6.4,10,5,15.5,26.1,10.6,0.6,200,2024-06-13 08:00,,0.3,5.7,14,0,120.30833356,22.6044507,57
前金,高雄市,17,,良好,0.5,0.35,14.2,10.4,8,5,7.5,8.3,0.7,0.8,22,2024-06-13 08:00,,0.2,5.2,15,0,120.28676111,22.63390278,56
左營,高雄市,36,,良好,0.7,0.4,1.5,6.9,10,9,13.6,19.6,6,1.4,56,2024-06-13 08:00,,0.2,11.1,17,0,120.292917,22.674861,54
楠梓,高雄市,28,,良好,1,0.34,6.2,5.3,10,5,17.1,23.1,5.9,1.8,65,2024-06-13 08:00,,0.1,7.6,19,0,120.328289,22.733667,53
林園,高雄市,25,,良好,0.5,0.35,15.2,10.5,22,7,6.2,6.8,0.6,0.8,71,2024-06-13 08:00,,0.2,7.7,25,1,120.41175,22.4795,52
大寮,高雄市,30,,良好,1.7,0.24,5.7,3.9,18,10,12.2,15.4,3.2,1.1,59,2024-06-13 08:00,,0.2,9.2,21,1,120.425311,22.56413611,51
鳳山,高雄市,20,,良好,0.6,0.49,6.3,7.4,11,0,10.8,13.6,2.8,0.5,184,2024-06-13 08:00,,0.2,3.3,20,0,120.357422,22.628126,50
仁武,高雄市,30,,良好,0.5,0.36,5.2,10.6,7,8,14.6,19.8,5.2,1.1,74,2024-06-13 08:00,,0.1,9.2,17,1,120.332631,22.689056,49
橋頭,高雄市,21,,良好,0.6,0.25,10.3,8.6,13,6,10.1,11.4,1.3,2.1,76,2024-06-13 08:00,,0.1,6.6,15,0,120.305689,22.757506,48
美濃,高雄市,30,,良好,0.4,0.16,14.5,7.4,12,3,3.4,4.3,0.8,1.5,60,2024-06-13 08:00,,0.1,2.4,30,0,120.530542,22.883583,47
臺南,臺南市,21,,良好,0.3,0.35,12.5,12.6,9,3,11.5,13.7,2.1,1.7,149,2024-06-13 08:00,,0.1,6.6,15,0,120.21947897,22.98928311,46
安南,臺南市,34,,良好,1.2,0.49,9.7,11.1,6,8,15.9,20.8,4.9,3.5,119,2024-06-13 08:00,,0.2,10.5,18,0,120.2175,23.048197,45
善化,臺南市,21,,良好,0,0.14,11.2,8.4,7,7,7.8,9.6,1.7,2,132,2024-06-13 08:00,,0,6.5,17,0,120.29740529,23.11337642,44
新營,臺南市,20,,良好,0.2,0.22,12.8,12.6,9,3,6.8,9.2,2.4,0.3,253,2024-06-13 08:00,,0.1,1.1,20,0,120.31725,23.305633,43
嘉義,嘉義市,21,,良好,0.9,0.15,14.9,14.5,13,2,5.9,7.3,1.4,1.9,118,2024-06-13 08:00,,0.1,4.9,21,0,120.44125148,23.46477865,42
臺西,雲林縣,17,,良好,0.6,0.13,18.4,16.6,8,1,2.5,4.1,1.5,2.9,184,2024-06-13 08:00,,0.1,5,17,0,120.19933333,23.702175,41
朴子,嘉義縣,24,,良好,0.6,0.19,15.2,12.2,9,6,5.6,8.5,2.8,1,152,2024-06-13 08:00,,0.1,7.5,22,0,120.2478,23.46538,40
新港,嘉義縣,25,,良好,0.6,0.12,21.9,19.0,13,6,3.6,5.7,2.1,1.9,151,2024-06-13 08:00,,0.1,7.6,20,1,120.345531,23.554839,39
崙背,雲林縣,23,,良好,0.8,0.1,18.3,16.5,11,7,1.9,3.6,1.6,1.6,182,2024-06-13 08:00,,0,7.2,17,0,120.348742,23.757547,38
斗六,雲林縣,20,,良好,1,0.17,16.9,15.2,19,8,5.5,8,2.5,2.3,193,2024-06-13 08:00,,0.1,6.3,19,1,120.544994,23.711853,37
南投,南投縣,17,,良好,0.2,0.2,9.2,5.0,14,5,5.1,8.7,3.6,1.5,153,2024-06-13 08:00,,0.1,3.7,17,0,120.685306,23.913,36
二林,彰化縣,32,,良好,0.7,0.1,21.8,18.3,12,8,1.6,2.2,0.6,2.8,199,2024-06-13 08:00,,0.1,9.9,18,1,120.409653,23.925175,35
線西,彰化縣,22,,良好,0.3,0.11,21.1,12.5,4,6,3.7,4,0.3,3.4,184,2024-06-13 08:00,,0.1,6.7,17,0,120.469061,24.131672,34
彰化,彰化縣,20,,良好,0.5,0.15,18.1,13.9,11,3,4.9,5.7,0.8,1.4,189,2024-06-13 08:00,,0.1,4.7,20,0,120.541519,24.066,33
西屯,臺中市,21,,良好,1.8,0.18,10.6,9.2,15,6,8.3,13.1,4.8,2.9,195,2024-06-13 08:00,,0.1,6.5,19,1,120.616917,24.162197,32
忠明,臺中市,19,,良好,0.3,0.26,6.4,12.5,23,7,8.5,13,4.4,1.9,184,2024-06-13 08:00,,0.1,6,17,0,120.641092,24.151958,31
大里,臺中市,19,,良好,1.3,0.28,8.5,13.3,18,6,6.9,11.3,4.3,1.9,242,2024-06-13 08:00,,0.1,5.8,16,0,120.67844444,24.09961111,30
沙鹿,臺中市,23,,良好,1.3,0.2,16,17.1,13,8,7.2,9.2,1.9,4.8,179,2024-06-13 08:00,,0.1,7.2,15,0,120.568794,24.225628,29
豐原,臺中市,20,,良好,1.3,0.23,17.1,22.9,12,5,4.8,6.6,1.8,4,202,2024-06-13 08:00,,0.1,4.2,13,0,120.74252414,24.25699731,28
三義,苗栗縣,21,,良好,1,0.14,18.1,23.1,14,9,1.5,3.3,1.7,5,196,2024-06-13 08:00,,0.1,5.9,13,0,120.75956754,24.38248443,27
苗栗,苗栗縣,25,,良好,1.2,0.14,21.4,23.0,13,6,2.4,2.9,0.5,5,210,2024-06-13 08:00,,0,7.7,10,1,120.82011468,24.56499183,26
頭份,苗栗縣,21,,良好,2,0.19,21,23.0,16,5,2.8,4.9,2.1,3.3,238,2024-06-13 08:00,,0.1,6.5,15,1,120.89869286,24.69690679,25
新竹,新竹市,19,,良好,0.6,0.17,19.7,21.9,11,7,5.5,7.2,1.6,3.1,234,2024-06-13 08:00,,0.1,4.9,10,,120.97236752,24.8056356,24
竹東,新竹縣,16,,良好,1.1,0.26,7.7,10.4,21,2,6,9.3,3.2,0.2,121,2024-06-13 08:00,,0.1,5,14,0,121.08895493,24.74091408,23
湖口,新竹縣,30,,良好,0.7,0.16,20.4,21.6,12,13,5.2,5.5,0.3,5,227,2024-06-13 08:00,,0.1,9.2,13,0,121.03886894,24.90009696,22
龍潭,桃園市,17,,良好,1.7,0.22,12.7,17.7,16,7,10.1,13.5,3.3,3.2,215,2024-06-13 08:00,,0.1,5,12,0,121.21645772,24.86400048,21
平鎮,桃園市,19,,良好,0.4,0.17,17.4,20.8,8,2,8.1,9.6,1.4,2.3,249,2024-06-13 08:00,,0.1,4.7,12,0,121.203986,24.952786,20
觀音,桃園市,25,,良好,0,0.08,19.5,20.9,17,7,4,5.6,1.6,6,250,2024-06-13 08:00,,0,7.8,18,0,121.08283092,25.03556747,19
大園,桃園市,20,,良好,0.5,0.12,20.5,22.2,16,5,4.7,5.6,0.9,5.7,233,2024-06-13 08:00,,0.1,4.9,16,0,121.20251473,25.06100357,18
桃園,桃園市,22,,良好,0.8,0.36,11,17.8,15,,13,17.9,4.9,1.8,204,2024-06-13 08:00,,0.1,,12,0,121.30500531,24.9947107,17
大同,臺北市,29,,良好,1.1,0.97,4.5,9.6,25,7,17.4,49.1,31.6,-,-,2024-06-13 08:00,,0.5,8.8,22,1,121.51342074,25.06331455,16
松山,臺北市,36,,良好,0.8,0.43,4,9.5,22,14,15,39.8,24.7,1.1,205,2024-06-13 08:00,,0.2,11,16,0,121.578611,25.05,15
古亭,臺北市,23,,良好,1.1,0.32,3.8,4.8,18,8,7.8,16.4,8.5,0.7,99,2024-06-13 08:00,,0.1,7.1,13,1,121.529556,25.020608,14
萬華,臺北市,22,,良好,0.3,0.47,4,10.1,19,7,13.8,28.2,14.4,0.2,88,2024-06-13 08:00,,0.2,6.6,16,0,121.507972,25.046503,13
中山,臺北市,28,,良好,0.7,0.5,7.1,11.0,17,8,14.5,24.8,10.2,1.2,287,2024-06-13 08:00,,0.2,8.5,14,0,121.526528,25.062361,12
士林,臺北市,28,,良好,0.8,0.25,12.2,13.3,19,9,12.3,15.5,3.2,1,206,2024-06-13 08:00,,0.1,8.5,15,0,121.51666356,25.10334003,11
淡水,新北市,20,,良好,1.5,0.14,22.1,22.7,22,3,4.3,5.8,1.4,1.1,240,2024-06-13 08:00,,0.1,5.8,17,1,121.449239,25.1645,10
林口,新北市,22,,良好,0.4,0.2,13.1,17.8,19,3,13.6,19.7,6.1,3.4,243,2024-06-13 08:00,,0.1,4.8,12,0,121.36548982,25.07798949,9
菜寮,新北市,28,,良好,0.6,0.39,10.5,13.6,14,9,12.6,17.3,4.7,1.6,233,2024-06-13 08:00,,0.2,8.7,13,0,121.481028,25.06895,8
新莊,新北市,27,,良好,0.5,0.53,3.4,6.9,34,13,16.5,31.7,15.2,0.6,12,2024-06-13 08:00,,0.2,7.5,18,0,121.4325,25.037972,7
板橋,新北市,23,,良好,0.6,0.43,5.7,11.4,20,4,14.8,23,8.1,1.3,267,2024-06-13 08:00,,0.2,3.4,12,0,121.458667,25.012972,6
土城,新北市,41,,良好,0.7,0.58,2.4,7.0,21,15,16.3,49.8,33.4,1,278,2024-06-13 08:00,,0.2,12.5,16,0,121.451861,24.982528,5
新店,新北市,-1,,,,,,,,,,,,,,2024-06-13 08:00,,,,,,121.537778,24.977222,4
萬里,新北市,18,,良好,0.7,0.17,16.3,18.1,14,5,7.6,9.9,2.3,1,185,2024-06-13 08:00,,0.1,5.4,12,0,121.689881,25.179667,3
汐止,新北市,26,,良好,1.2,0.43,6.7,9.2,23,14,14.4,26.9,12.5,1.3,191,2024-06-13 08:00,,0.1,8.1,18,0,121.64081,25.06624,2
基隆,基隆市,16,,良好,1.1,0.25,14.4,17.6,14,4,7.3,11.1,3.8,2.3,258,2024-06-13 08:00,,0.1,4.5,11,0,121.760056,25.129167,1
屏東(枋山),屏東縣,45,,良好,0.1,0.09,29,26.2,51,8,0.8,0.8,0,2,279,2024-06-13 07:00,,0.1,8.9,45,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,18,,良好,0.1,0.18,18.3,19.6,12,6,4,4.9,0.8,0.7,91,2024-06-13 07:00,,0.1,2.7,10,0,120.65525382,24.39017512,312
新北(樹林),新北市,24,,良好,0.4,0.21,4,5.9,22,9,8.1,15.6,7.4,0,69,2024-06-13 07:00,,0.1,7.5,18,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,21,,良好,0,0.16,15.3,12.4,17,5,2.5,3,0.5,0.3,140,2024-06-13 07:00,,0.1,6.6,15,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,20,,良好,0.8,0.15,7.6,5.6,17,6,8.1,12.9,4.8,0.2,122,2024-06-13 07:00,,0.1,4.3,20,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,25,,良好,0.5,0.17,10.7,6.1,9,9,5.9,6.7,0.8,0.7,66,2024-06-13 07:00,,0.2,7.6,18,0,120.24535,22.87985556,202
彰化（員林）,彰化縣,34,,良好,1.5,0.24,9.5,13.4,24,12,7.8,11.1,3.3,1.1,85,2024-06-13 07:00,,0.1,10.5,21,1,120.56373,23.96117,201
大城,彰化縣,19,,良好,0.6,0.04,20.8,18.8,7,5,1.3,1.7,0.3,1.9,189,2024-06-13 07:00,,0,5.7,15,0,120.26964167,23.85493056,85
富貴角,新北市,22,,良好,0.4,0.11,22.4,23.0,23,7,4.7,5.4,0.6,5.9,245,2024-06-13 07:00,,0.1,6.7,22,0,121.53656894,25.29681695,84
麥寮,雲林縣,20,,良好,1.2,0.15,19.8,16.0,13,2,2.6,4.7,2,2.1,166,2024-06-13 07:00,,0.1,3.9,20,1,120.251825,23.753506,83
關山,臺東縣,44,,良好,0.5,0.15,5.4,4.5,55,8,3.3,5.9,2.5,1.1,46,2024-06-13 07:00,,0.1,8,44,0,121.161933,23.045083,80
馬公,澎湖縣,23,,良好,0.8,0.11,22.8,20.7,20,8,3.8,5.6,1.7,1.4,206,2024-06-13 07:00,,0,7.1,17,3,119.566158,23.569031,78
金門,金門縣,19,,良好,0.7,0.11,23.1,20.0,20,9,7.4,7.9,0.5,2.9,233,2024-06-13 07:00,,,5.7,17,0,118.312256,24.432133,77
馬祖,連江縣,29,,良好,0.3,0.1,21.5,23.1,22,6,2.9,4,1,4.3,213,2024-06-13 07:00,,0,9,20,0,119.93149378,26.15188416,75
埔里,南投縣,28,,良好,1.3,0.22,2.1,2.4,21,10,2.2,6.6,4.3,0.3,333,2024-06-13 07:00,,0.1,8.5,19,1,120.967903,23.968842,72
復興,高雄市,25,,良好,0,0.3,6.3,7.4,15,7,8.1,10.9,2.8,0.4,128,2024-06-13 07:00,,0.2,7.6,18,0,120.312017,22.608711,71
永和,新北市,22,,良好,0.7,0.44,3.8,5.7,14,10,8,21.8,13.8,0.9,188,2024-06-13 07:00,,0.2,6.9,13,0,121.516306,25.017,70
竹山,南投縣,22,,良好,0.8,0.13,4.4,4.5,20,6,3.8,6.4,2.5,1.1,238,2024-06-13 07:00,,0,6.9,16,0,120.677306,23.756389,69
中壢,桃園市,32,,良好,0.1,0.51,13.1,18.2,15,9,14.1,36.6,22.5,0.6,94,2024-06-13 07:00,,0.2,9.8,18,0,121.221667,24.953278,68
三重,新北市,35,,良好,0.6,0.87,3.9,7.8,21,9,21.8,85.5,63.6,-,-,2024-06-13 07:00,,0.5,8.1,14,1,121.493806,25.072611,67
冬山,宜蘭縣,34,,良好,0.3,0.27,10.9,14.0,27,13,7.5,10.9,3.4,0.7,290,2024-06-13 07:00,,0.2,10.4,27,0,121.792928,24.632203,66
宜蘭,宜蘭縣,18,,良好,0.5,0.16,19.4,19.7,15,4,3.3,3.9,0.6,0.3,156,2024-06-13 07:00,,0.1,5.3,14,0,121.746394,24.747917,65
陽明,臺北市,21,,良好,0.6,0.12,23.6,23.7,14,4,1.6,2.3,0.6,2.3,80,2024-06-13 07:00,,0.1,3.6,12,0,121.529583,25.182722,64
花蓮,花蓮縣,21,,良好,0.5,0.16,9.8,11.6,14,6,2.1,2.8,0.6,2.1,198,2024-06-13 07:00,,0.1,6.4,15,0,121.599769,23.971306,63
臺東,臺東縣,19,,良好,0.7,0.14,18.6,14.0,20,4,2.7,3.3,0.5,0.2,344,2024-06-13 07:00,,0.1,5.7,16,1,121.15045,22.755358,62
恆春,屏東縣,25,,良好,0.4,0.08,24.5,23.5,18,11,0.4,1.3,0.9,2.6,302,2024-06-13 07:00,,0,7.6,19,0,120.788928,21.958069,61
潮州,屏東縣,30,,良好,0.2,0.09,12.4,8.3,25,5,0.9,1.9,1,1.8,72,2024-06-13 07:00,,0.1,4.8,30,0,120.561175,22.523108,60
屏東,屏東縣,25,,良好,0.3,0.22,9.4,5.4,17,5,5.4,7.7,2.2,0.2,54,2024-06-13 07:00,,0.1,6.7,25,0,120.488033,22.673081,59
小港,高雄市,37,,良好,2.8,0.24,5,5.1,8,14,11.4,16.2,4.8,1.6,326,2024-06-13 07:00,,0.2,11.3,16,1,120.337736,22.565833,58
前鎮,高雄市,19,,良好,,0.35,7,6.2,16,7,8.4,12.9,4.5,1.1,23,2024-06-13 07:00,,0.2,5.8,15,0,120.30833356,22.6044507,57
前金,高雄市,17,,良好,0.6,0.2,10.6,9.9,18,7,6.5,7.6,1.1,0.7,230,2024-06-13 07:00,,0.1,5.2,17,0,120.28676111,22.63390278,56
左營,高雄市,36,,良好,0.8,0.19,5.4,6.7,21,11,6.8,9,2.2,1.5,359,2024-06-13 07:00,,0.2,11,19,0,120.292917,22.674861,54
楠梓,高雄市,24,,良好,0.8,0.2,6.6,4.7,16,8,12.1,16.1,4,0.7,54,2024-06-13 07:00,,0.1,7.5,22,0,120.328289,22.733667,53
林園,高雄市,27,,良好,0.4,0.16,13.9,10.2,19,7,3.7,4.1,0.4,0.1,111,2024-06-13 07:00,,0.2,7.6,27,1,120.41175,22.4795,52
大寮,高雄市,30,,良好,0.3,0.16,9.1,3.7,17,9,7.1,9.1,1.9,1.2,58,2024-06-13 07:00,,0.2,9.2,22,1,120.425311,22.56413611,51
鳳山,高雄市,21,,良好,0.4,0.33,5.8,8.2,25,2,5.8,8.8,2.9,1,274,2024-06-13 07:00,,0.2,4.7,21,0,120.357422,22.628126,50
仁武,高雄市,29,,良好,0.3,0.17,10.5,11.1,21,10,5.6,7.4,1.7,1.8,162,2024-06-13 07:00,,0.1,9,19,1,120.332631,22.689056,49
橋頭,高雄市,20,,良好,0.3,0.14,11.5,7.9,11,8,6,7,0.9,1.6,82,2024-06-13 07:00,,0.1,6.2,16,0,120.305689,22.757506,48
美濃,高雄市,33,,良好,0.3,0.16,7.5,6.3,26,3,2.8,3.7,0.9,0.7,23,2024-06-13 07:00,,0.1,2,33,0,120.530542,22.883583,47
臺南,臺南市,24,,良好,0.3,0.12,19.1,12.8,9,5,5.2,6.4,1.1,1.5,181,2024-06-13 07:00,,0.1,7.3,18,0,120.21947897,22.98928311,46
安南,臺南市,36,,良好,1.1,0.21,14.5,11.4,4,12,8.5,9.5,0.9,0.6,154,2024-06-13 07:00,,0.2,11,22,0,120.2175,23.048197,45
善化,臺南市,20,,良好,0.2,0.13,7.9,7.6,18,7,8.6,11,2.4,1.2,147,2024-06-13 07:00,,0,6.3,19,0,120.29740529,23.11337642,44
新營,臺南市,22,,良好,0.1,0.16,9.8,12.3,18,1,5.2,7,1.7,0.3,174,2024-06-13 07:00,,0.1,0.7,22,0,120.31725,23.305633,43
